Municipio,Numero_Focos,lat,lon,IMRI,Classificação_IMRI,Bioma_Mais_Afetado,Mes_Mais_Afetado,Focos 2015,Focos 2016,Focos 2017,Focos 2018,Focos 2019,Focos 2020,Focos 2021,Focos 2022,Focos 2023,Focos 2024,Focos 2025
PARACATU,1727,-17.25322676317313,-46.88137200926462,157.0,Médio,Cerrado,Set,146.0,106.0,154.0,73.0,176.0,160.0,266.0,110.0,108.0,207.0,221.0
JOÃO PINHEIRO,1383,-17.56741603036876,-45.99519317425886,125.73,Médio,Cerrado,Set,74.0,151.0,105.0,50.0,98.0,188.0,153.0,143.0,129.0,150.0,142.0
LASSANCE,1342,-17.835112011922504,-44.50590790611028,122.0,Médio,Cerrado,Set,106.0,50.0,70.0,60.0,104.0,114.0,138.0,158.0,118.0,258.0,166.0
UBERABA,1267,-19.672502162588792,-47.95950029992108,115.18,Médio,Cerrado,Set,74.0,114.0,153.0,67.0,116.0,158.0,184.0,48.0,34.0,234.0,85.0
UNAÍ,1103,-16.407472493200363,-46.80852773345421,100.27,Médio,Cerrado,Set,81.0,123.0,70.0,86.0,93.0,110.0,147.0,89.0,87.0,97.0,120.0
DIAMANTINA,1053,-18.072720322886987,-43.69038016144349,95.73,Médio,Cerrado,Set,188.0,29.0,53.0,33.0,131.0,87.0,126.0,139.0,39.0,137.0,91.0
UBERLÂNDIA,1026,-19.02252750487329,-48.31353942495127,93.27,Médio,Cerrado,Set,55.0,118.0,108.0,41.0,126.0,113.0,184.0,30.0,39.0,139.0,73.0
ARINOS,924,-15.756188495670996,-46.00017404761905,84.0,Médio,Cerrado,Set,168.0,49.0,77.0,54.0,130.0,56.0,149.0,69.0,34.0,36.0,102.0
BURITIZEIRO,885,-17.361431186440676,-45.19643762711865,80.45,Médio,Cerrado,Out,112.0,27.0,106.0,64.0,100.0,128.0,58.0,58.0,75.0,73.0,84.0
JAÍBA,879,-15.23910260523322,-43.71805843003413,79.91,Médio,Cerrado,Set,40.0,29.0,30.0,58.0,84.0,151.0,111.0,118.0,84.0,69.0,105.0
